Title,Sex,Titlul_Regasit,Titlul_Potrivit
Mr,male,male,Da
Mrs,female,female,Da
Miss,female,female,Da
Mrs,female,female,Da
Mr,male,male,Da
Mr,male,male,Da
Mr,male,male,Da
Master,male,male,Da
Mrs,female,female,Da
Mrs,female,female,Da
Miss,female,female,Da
Miss,female,female,Da
Mr,male,male,Da
Mr,male,male,Da
Miss,female,female,Da
Mrs,female,female,Da
Master,male,male,Da
Mr,male,male,Da
Mrs,female,female,Da
Mrs,female,female,Da
Mr,male,male,Da
Mr,male,male,Da
Miss,female,female,Da
Mr,male,male,Da
Miss,female,female,Da
Mrs,female,female,Da
Mr,male,male,Da
Mr,male,male,Da
Miss,female,female,Da
Mr,male,male,Da
Don,male,male,Da
Mrs,female,female,Da
Miss,female,female,Da
Mr,male,male,Da
Mr,male,male,Da
Mr,male,male,Da
Mr,male,male,Da
Mr,male,male,Da
Miss,female,female,Da
Miss,female,female,Da
Mrs,female,female,Da
Mrs,female,female,Da
Mr,male,male,Da
Miss,female,female,Da
Miss,female,female,Da
Mr,male,male,Da
Mr,male,male,Da
Miss,female,female,Da
Mr,male,male,Da
Mrs,female,female,Da
Master,male,male,Da
Mr,male,male,Da
Mrs,female,female,Da
Mrs,female,female,Da
Mr,male,male,Da
Mr,male,male,Da
Miss,female,female,Da
Mr,male,male,Da
Miss,female,female,Da
Master,male,male,Da
Mr,male,male,Da
Miss,female,female,Da
Mr,male,male,Da
Master,male,male,Da
Mr,male,male,Da
Master,male,male,Da
Mrs,female,female,Da
Mr,male,male,Da
Miss,female,female,Da
Mr,male,male,Da
Mr,male,male,Da
Miss,female,female,Da
Mr,male,male,Da
Mr,male,male,Da
Mr,male,male,Da
Mr,male,male,Da
Mr,male,male,Da
Mr,male,male,Da
Master,male,male,Da
Miss,female,female,Da
Mr,male,male,Da
Mr,male,male,Da
Miss,female,female,Da
Mr,male,male,Da
Miss,female,female,Da
Mrs,female,female,Da
Mr,male,male,Da
Mr,male,male,Da
Miss,female,female,Da
Mr,male,male,Da
Mr,male,male,Da
Mr,male,male,Da
Mr,male,male,Da
Mr,male,male,Da
Mr,male,male,Da
Mr,male,male,Da
Mr,male,male,Da
Mr,male,male,Da
Mrs,female,female,Da
Mr,male,male,Da
Miss,female,female,Da
Mr,male,male,Da
Mr,male,male,Da
Mr,male,male,Da
Mr,male,male,Da
Mr,male,male,Da
Miss,female,female,Da
Mr,male,male,Da
Mr,male,male,Da
Miss,female,female,Da
Mr,male,male,Da
Miss,female,female,Da
Mr,male,male,Da
Miss,female,female,Da
Miss,female,female,Da
Mr,male,male,Da
Mr,male,male,Da
Mr,male,male,Da
Mr,male,male,Da
Miss,female,female,Da
Mr,male,male,Da
Mr,male,male,Da
Mr,male,male,Da
Miss,female,female,Da
Mr,male,male,Da
Master,male,male,Da
Mr,male,male,Da
Mr,male,male,Da
Miss,female,female,Da
Mr,male,male,Da
Mr,male,male,Da
Mr,male,male,Da
Mrs,female,female,Da
Mrs,female,female,Da
Mr,male,male,Da
Mr,male,male,Da
Miss,female,female,Da
Mr,male,male,Da
Mr,male,male,Da
Mr,male,male,Da
Mrs,female,female,Da
Miss,female,female,Da
Mrs,female,female,Da
Mr,male,male,Da
Mr,male,male,Da
Mr,male,male,Da
Mr,male,male,Da
Miss,female,female,Da
Mr,male,male,Da
Rev,male,male,Da
Rev,male,male,Da
Mrs,female,female,Da
Mr,male,male,Da
Mr,male,male,Da
Mr,male,male,Da
Mr,male,male,Da
Miss,female,female,Da
Mr,male,male,Da
Mr,male,male,Da
Master,male,male,Da
Mr,male,male,Da
Mrs,female,female,Da
Mr,male,male,Da
Mr,male,male,Da
Master,male,male,Da
Master,male,male,Da
Mrs,female,female,Da
Mrs,female,female,Da
Mr,male,male,Da
Mr,male,male,Da
Mr,male,male,Da
Master,male,male,Da
Miss,female,female,Da
Mr,male,male,Da
Mr,male,male,Da
Mr,male,male,Da
Master,male,male,Da
Miss,female,female,Da
Mr,male,male,Da
Mr,male,male,Da
Miss,female,female,Da
Mr,male,male,Da
Master,male,male,Da
Master,male,male,Da
Miss,female,female,Da
Mr,male,male,Da
Mrs,female,female,Da
Mr,male,male,Da
Mr,male,male,Da
Mr,male,male,Da
Mrs,female,female,Da
Mr,male,male,Da
Miss,female,female,Da
Master,male,male,Da
Mrs,female,female,Da
Miss,female,female,Da
Mr,male,male,Da
Mr,male,male,Da
Miss,female,female,Da
Miss,female,female,Da
Mr,male,male,Da
Mr,male,male,Da
Mr,male,male,Da
Mr,male,male,Da
Mr,male,male,Da
Miss,female,female,Da
Mr,male,male,Da
Mr,male,male,Da
Miss,female,female,Da
Mr,male,male,Da
Mr,male,male,Da
Miss,female,female,Da
Mr,male,male,Da
